sensor_id,parameter,value,unit,date_utc,date_local,location_id,coordinates_latitude,coordinates_longitude
1575,pm25,11.6,µg/m³,,,,,
1575,pm25,8.6,µg/m³,,,,,
1575,pm25,5.6,µg/m³,,,,,
1575,pm25,7.5,µg/m³,,,,,
1575,pm25,7.4,µg/m³,,,,,
1575,pm25,10.2,µg/m³,,,,,
1575,pm25,45.0,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,6.9,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.4,µg/m³,,,,,
1575,pm25,2.3,µg/m³,,,,,
1575,pm25,2.3,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,6.2,µg/m³,,,,,
1575,pm25,8.4,µg/m³,,,,,
1575,pm25,6.6,µg/m³,,,,,
1575,pm25,7.3,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.0,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.5,µg/m³,,,,,
1575,pm25,4.7,µg/m³,,,,,
1575,pm25,5.3,µg/m³,,,,,
1575,pm25,5.5,µg/m³,,,,,
1575,pm25,5.4,µg/m³,,,,,
1575,pm25,6.1,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,4.8,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,4.7,µg/m³,,,,,
1575,pm25,4.3,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,4.0,µg/m³,,,,,
1575,pm25,5.3,µg/m³,,,,,
1575,pm25,5.1,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,5.1,µg/m³,,,,,
1575,pm25,4.9,µg/m³,,,,,
1575,pm25,5.2,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,4.0,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,5.2,µg/m³,,,,,
1575,pm25,6.3,µg/m³,,,,,
1575,pm25,6.5,µg/m³,,,,,
1575,pm25,7.0,µg/m³,,,,,
1575,pm25,5.4,µg/m³,,,,,
1575,pm25,5.2,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,6.1,µg/m³,,,,,
1575,pm25,6.3,µg/m³,,,,,
1575,pm25,6.6,µg/m³,,,,,
1575,pm25,6.8,µg/m³,,,,,
1575,pm25,6.6,µg/m³,,,,,
1575,pm25,6.8,µg/m³,,,,,
1575,pm25,8.5,µg/m³,,,,,
1575,pm25,8.8,µg/m³,,,,,
1575,pm25,15.2,µg/m³,,,,,
1575,pm25,14.1,µg/m³,,,,,
1575,pm25,9.0,µg/m³,,,,,
1575,pm25,8.3,µg/m³,,,,,
1575,pm25,7.6,µg/m³,,,,,
1575,pm25,7.4,µg/m³,,,,,
1575,pm25,7.9,µg/m³,,,,,
1575,pm25,9.1,µg/m³,,,,,
1575,pm25,7.3,µg/m³,,,,,
1575,pm25,6.4,µg/m³,,,,,
1575,pm25,5.7,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,4.6,µg/m³,,,,,
1575,pm25,4.3,µg/m³,,,,,
1575,pm25,4.3,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.0,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,5.6,µg/m³,,,,,
1575,pm25,6.2,µg/m³,,,,,
1575,pm25,4.9,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,3.8,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.4,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,5.7,µg/m³,,,,,
1575,pm25,7.1,µg/m³,,,,,
1575,pm25,7.0,µg/m³,,,,,
1575,pm25,7.1,µg/m³,,,,,
1575,pm25,7.5,µg/m³,,,,,
1575,pm25,8.4,µg/m³,,,,,
1575,pm25,7.5,µg/m³,,,,,
1575,pm25,8.1,µg/m³,,,,,
1575,pm25,7.9,µg/m³,,,,,
1575,pm25,9.3,µg/m³,,,,,
1575,pm25,8.3,µg/m³,,,,,
1575,pm25,8.4,µg/m³,,,,,
1575,pm25,8.0,µg/m³,,,,,
1575,pm25,7.6,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,2.5,µg/m³,,,,,
1575,pm25,2.4,µg/m³,,,,,
1575,pm25,2.8,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,4.7,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,3.8,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.4,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,3.4,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.4,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.5,µg/m³,,,,,
1575,pm25,5.3,µg/m³,,,,,
1575,pm25,5.1,µg/m³,,,,,
1575,pm25,4.8,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,4.8,µg/m³,,,,,
1575,pm25,5.2,µg/m³,,,,,
1575,pm25,5.7,µg/m³,,,,,
1575,pm25,5.9,µg/m³,,,,,
1575,pm25,6.1,µg/m³,,,,,
1575,pm25,6.2,µg/m³,,,,,
1575,pm25,6.1,µg/m³,,,,,
1575,pm25,6.5,µg/m³,,,,,
1575,pm25,6.6,µg/m³,,,,,
1575,pm25,5.5,µg/m³,,,,,
1575,pm25,4.9,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,5.9,µg/m³,,,,,
1575,pm25,6.2,µg/m³,,,,,
1575,pm25,6.5,µg/m³,,,,,
1575,pm25,6.2,µg/m³,,,,,
1575,pm25,5.9,µg/m³,,,,,
1575,pm25,6.1,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,6.9,µg/m³,,,,,
1575,pm25,7.1,µg/m³,,,,,
1575,pm25,6.8,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,6.6,µg/m³,,,,,
1575,pm25,7.1,µg/m³,,,,,
1575,pm25,7.9,µg/m³,,,,,
1575,pm25,7.8,µg/m³,,,,,
1575,pm25,8.9,µg/m³,,,,,
1575,pm25,8.9,µg/m³,,,,,
1575,pm25,7.9,µg/m³,,,,,
1575,pm25,7.3,µg/m³,,,,,
1575,pm25,6.1,µg/m³,,,,,
1575,pm25,6.1,µg/m³,,,,,
1575,pm25,6.0,µg/m³,,,,,
1575,pm25,6.0,µg/m³,,,,,
1575,pm25,4.9,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,4.5,µg/m³,,,,,
1575,pm25,4.5,µg/m³,,,,,
1575,pm25,4.6,µg/m³,,,,,
1575,pm25,5.3,µg/m³,,,,,
1575,pm25,4.8,µg/m³,,,,,
1575,pm25,4.8,µg/m³,,,,,
1575,pm25,5.3,µg/m³,,,,,
1575,pm25,5.3,µg/m³,,,,,
1575,pm25,4.7,µg/m³,,,,,
1575,pm25,4.6,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,4.5,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.6,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,3.8,µg/m³,,,,,
1575,pm25,4.0,µg/m³,,,,,
1575,pm25,4.0,µg/m³,,,,,
1575,pm25,3.8,µg/m³,,,,,
1575,pm25,3.8,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,8.0,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,4.0,µg/m³,,,,,
1575,pm25,3.0,µg/m³,,,,,
1575,pm25,1.8,µg/m³,,,,,
1575,pm25,2.5,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,2.3,µg/m³,,,,,
1575,pm25,4.0,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,2.8,µg/m³,,,,,
1575,pm25,5.1,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,2.1,µg/m³,,,,,
1575,pm25,2.0,µg/m³,,,,,
1575,pm25,1.9,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,2.1,µg/m³,,,,,
1575,pm25,1.5,µg/m³,,,,,
1575,pm25,1.6,µg/m³,,,,,
1575,pm25,2.4,µg/m³,,,,,
1575,pm25,3.1,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,6.2,µg/m³,,,,,
1575,pm25,6.5,µg/m³,,,,,
1575,pm25,6.2,µg/m³,,,,,
1575,pm25,6.4,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,6.6,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,6.9,µg/m³,,,,,
1575,pm25,7.6,µg/m³,,,,,
1575,pm25,7.5,µg/m³,,,,,
1575,pm25,7.8,µg/m³,,,,,
1575,pm25,7.4,µg/m³,,,,,
1575,pm25,7.1,µg/m³,,,,,
1575,pm25,13.8,µg/m³,,,,,
1575,pm25,20.3,µg/m³,,,,,
1575,pm25,17.4,µg/m³,,,,,
1575,pm25,12.4,µg/m³,,,,,
1575,pm25,12.4,µg/m³,,,,,
1575,pm25,12.6,µg/m³,,,,,
1575,pm25,12.0,µg/m³,,,,,
1575,pm25,11.8,µg/m³,,,,,
1575,pm25,12.9,µg/m³,,,,,
1575,pm25,9.9,µg/m³,,,,,
1575,pm25,7.1,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,6.6,µg/m³,,,,,
1575,pm25,6.5,µg/m³,,,,,
1575,pm25,6.8,µg/m³,,,,,
1575,pm25,7.7,µg/m³,,,,,
1575,pm25,6.8,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,6.9,µg/m³,,,,,
1575,pm25,7.0,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,6.8,µg/m³,,,,,
1575,pm25,5.6,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,2.3,µg/m³,,,,,
1575,pm25,3.0,µg/m³,,,,,
1575,pm25,3.0,µg/m³,,,,,
1575,pm25,2.5,µg/m³,,,,,
1575,pm25,1.5,µg/m³,,,,,
1575,pm25,1.2,µg/m³,,,,,
1575,pm25,0.9,µg/m³,,,,,
1575,pm25,0.9,µg/m³,,,,,
1575,pm25,0.7,µg/m³,,,,,
1575,pm25,0.8,µg/m³,,,,,
1575,pm25,0.7,µg/m³,,,,,
1575,pm25,0.6,µg/m³,,,,,
1575,pm25,1.1,µg/m³,,,,,
1575,pm25,2.3,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,3.0,µg/m³,,,,,
1575,pm25,3.1,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,4.3,µg/m³,,,,,
1575,pm25,4.7,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,5.5,µg/m³,,,,,
1575,pm25,5.4,µg/m³,,,,,
1575,pm25,5.5,µg/m³,,,,,
1575,pm25,5.1,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.3,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.6,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.1,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,3.0,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.1,µg/m³,,,,,
1575,pm25,3.4,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,4.8,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,4.3,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,3.1,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,2.0,µg/m³,,,,,
1575,pm25,2.4,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,3.1,µg/m³,,,,,
1575,pm25,3.8,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,4.0,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,4.3,µg/m³,,,,,
1575,pm25,4.8,µg/m³,,,,,
1575,pm25,4.9,µg/m³,,,,,
1575,pm25,4.9,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,3.4,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,4.2,µg/m³,,,,,
1575,pm25,5.9,µg/m³,,,,,
1575,pm25,6.7,µg/m³,,,,,
1575,pm25,7.9,µg/m³,,,,,
1575,pm25,9.0,µg/m³,,,,,
1575,pm25,11.5,µg/m³,,,,,
1575,pm25,15.6,µg/m³,,,,,
1575,pm25,9.5,µg/m³,,,,,
1575,pm25,11.4,µg/m³,,,,,
1575,pm25,15.5,µg/m³,,,,,
1575,pm25,15.6,µg/m³,,,,,
1575,pm25,11.9,µg/m³,,,,,
1575,pm25,11.2,µg/m³,,,,,
1575,pm25,10.3,µg/m³,,,,,
1575,pm25,5.4,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,3.8,µg/m³,,,,,
1575,pm25,3.4,µg/m³,,,,,
1575,pm25,3.6,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,3.8,µg/m³,,,,,
1575,pm25,4.7,µg/m³,,,,,
1575,pm25,5.3,µg/m³,,,,,
1575,pm25,4.8,µg/m³,,,,,
1575,pm25,5.4,µg/m³,,,,,
1575,pm25,3.4,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,5.1,µg/m³,,,,,
1575,pm25,4.4,µg/m³,,,,,
1575,pm25,3.9,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.8,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,5.5,µg/m³,,,,,
1575,pm25,11.9,µg/m³,,,,,
1575,pm25,13.7,µg/m³,,,,,
1575,pm25,15.0,µg/m³,,,,,
1575,pm25,9.4,µg/m³,,,,,
1575,pm25,12.6,µg/m³,,,,,
1575,pm25,12.6,µg/m³,,,,,
1575,pm25,12.6,µg/m³,,,,,
1575,pm25,12.3,µg/m³,,,,,
1575,pm25,11.7,µg/m³,,,,,
1575,pm25,13.5,µg/m³,,,,,
1575,pm25,13.3,µg/m³,,,,,
1575,pm25,10.0,µg/m³,,,,,
1575,pm25,8.2,µg/m³,,,,,
1575,pm25,7.7,µg/m³,,,,,
1575,pm25,7.6,µg/m³,,,,,
1575,pm25,7.6,µg/m³,,,,,
1575,pm25,5.7,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,5.2,µg/m³,,,,,
1575,pm25,4.9,µg/m³,,,,,
1575,pm25,5.0,µg/m³,,,,,
1575,pm25,5.2,µg/m³,,,,,
1575,pm25,3.7,µg/m³,,,,,
1575,pm25,3.0,µg/m³,,,,,
1575,pm25,3.1,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.8,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,3.0,µg/m³,,,,,
1575,pm25,2.8,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.3,µg/m³,,,,,
1575,pm25,2.3,µg/m³,,,,,
1575,pm25,2.3,µg/m³,,,,,
1575,pm25,2.5,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.4,µg/m³,,,,,
1575,pm25,2.4,µg/m³,,,,,
1575,pm25,2.4,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,3.3,µg/m³,,,,,
1575,pm25,10.7,µg/m³,,,,,
1575,pm25,6.3,µg/m³,,,,,
1575,pm25,3.4,µg/m³,,,,,
1575,pm25,3.1,µg/m³,,,,,
1575,pm25,3.4,µg/m³,,,,,
1575,pm25,7.7,µg/m³,,,,,
1575,pm25,4.1,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,3.2,µg/m³,,,,,
1575,pm25,2.8,µg/m³,,,,,
1575,pm25,2.8,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,3.0,µg/m³,,,,,
1575,pm25,2.7,µg/m³,,,,,
1575,pm25,2.6,µg/m³,,,,,
1575,pm25,2.5,µg/m³,,,,,
1575,pm25,2.0,µg/m³,,,,,
1575,pm25,2.1,µg/m³,,,,,
1575,pm25,2.2,µg/m³,,,,,
1575,pm25,2.1,µg/m³,,,,,
1575,pm25,2.9,µg/m³,,,,,
1575,pm25,3.0,µg/m³,,,,,
1575,pm25,3.1,µg/m³,,,,,
1575,pm25,3.5,µg/m³,,,,,
